id,CATEGORY,SENTIMENT,SCORE,REVLEN
140686,0.41,0.41,0.15,0.03
140687,0.41,0.41,0.16,0.02
140688,0.41,0.41,0.17,0.01
140689,0.41,0.41,0.18,0.0
140690,0.41,0.42,0.0,0.17
140691,0.41,0.42,0.01,0.16
140692,0.41,0.42,0.02,0.15
140693,0.41,0.42,0.03,0.14
140694,0.41,0.42,0.04,0.13
140695,0.41,0.42,0.05,0.12
140696,0.41,0.42,0.06,0.11
140697,0.41,0.42,0.07,0.1
140698,0.41,0.42,0.08,0.09
140699,0.41,0.42,0.09,0.08
140700,0.41,0.42,0.1,0.07
140701,0.41,0.42,0.11,0.06
140702,0.41,0.42,0.12,0.05
140703,0.41,0.42,0.13,0.04
140704,0.41,0.42,0.14,0.03
140705,0.41,0.42,0.15,0.02
140706,0.41,0.42,0.16,0.01
140707,0.41,0.42,0.17,0.0
140708,0.41,0.43,0.0,0.16
140709,0.41,0.43,0.01,0.15
140710,0.41,0.43,0.02,0.14
140711,0.41,0.43,0.03,0.13
140712,0.41,0.43,0.04,0.12
140713,0.41,0.43,0.05,0.11
140714,0.41,0.43,0.06,0.1
140715,0.41,0.43,0.07,0.09
140716,0.41,0.43,0.08,0.08
140717,0.41,0.43,0.09,0.07
140718,0.41,0.43,0.1,0.06
140719,0.41,0.43,0.11,0.05
140720,0.41,0.43,0.12,0.04
140721,0.41,0.43,0.13,0.03
140722,0.41,0.43,0.14,0.02
140723,0.41,0.43,0.15,0.01
140724,0.41,0.43,0.16,0.0
